PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
77-324;AP Bińcze;Bińcze;;10A;Czarne;człuchowski;pomorskie
37-740;UP Bircza;Bircza;Rynek;9;Bircza;przemyski;podkarpackie
62-007;AP Biskupice;Biskupice;Dworcowa;3/2;Pobiedziska;poznański;wielkopolskie
11-300;UP Biskupiec;Biskupiec;Dworcowa;3;Biskupiec;olsztyński;warmińsko-mazurskie
11-300;FUP Biskupiec;Biskupiec;Ludowa;48;Biskupiec;olsztyński;warmińsko-mazurskie
11-311;FUP Biskupiec;Kolno;;25;Kolno;olsztyński;warmińsko-mazurskie
42-290;UP Blachownia 1;Blachownia;Stefana Żeromskiego;8;Blachownia;częstochowski;śląskie
42-214;FUP Blachownia 1;Częstochowa;Aleja Jana Pawła II;86/88;Częstochowa;Częstochowa;śląskie
42-228;FUP Blachownia 1;Częstochowa;Ignacego Mościckiego;12;Częstochowa;Częstochowa;śląskie
42-218;FUP Blachownia 1;Częstochowa;Okólna;113 A;Częstochowa;Częstochowa;śląskie
42-284;FUP Blachownia 1;Herby;Lubliniecka;33;Herby;lubliniecki;śląskie
42-274;FUP Blachownia 1;Konopiska;Lipowa;3;Konopiska;częstochowski;śląskie
09-452;AP Blichowo;Blichowo;;61b;Bulkowo;płocki;mazowieckie
48-141;AP Bliszczyce;Bliszczyce;;117;Branice;głubczycki;opolskie
62-814;UP Blizanów;Blizanów Drugi;;31;Blizanów;kaliski;wielkopolskie
98-235;UP Błaszki;Błaszki;Sieradzka;57;Błaszki;sieradzki;łódzkie
23-320;AP Błażek;Błażek;;207;Batorz;janowski;lubelskie
86-100;AP Błądzim;Błądzim;Główna;12;Lniano;świecki;kujawsko-pomorskie
05-870;UP Błonie;Błonie;Targowa;3 A;Błonie;warszawski zachodni;mazowieckie
05-872;FUP Błonie;Błonie;Nowakowskiego;2/4;Błonie;warszawski zachodni;mazowieckie
05-085;FUP Błonie;Kampinos;Fryderyka Chopina;1;Kampinos;warszawski zachodni;mazowieckie
05-084;FUP Błonie;Leszno;Błońska;20;Leszno;warszawski zachodni;mazowieckie
05-083;FUP Błonie;Zaborów;Ogrodowa;2;Leszno;warszawski zachodni;mazowieckie
72-200;AP Błotno;Błotno;;1;Nowogard;goleniowski;zachodniopomorskie
76-020;AP Bobolice;Bobolice;Plac Zwycięstwa;22;Bobolice;koszaliński;zachodniopomorskie
83-212;AP Bobowo;Bobowo;Gdańska;71;Bobowo;starogardzki;pomorskie
08-500;AP Bobrowniki;Bobrowniki;Krasnoglińska;8;Ryki;rycki;lubelskie
19-336;AP Bobry;Bobry;;20;Prostki;ełcki;warmińsko-mazurskie
23-252;AP Boby-Kolonia;Boby-Kolonia;;93;Urzędów;kraśnicki;lubelskie
32-700;UP Bochnia;Bochnia;Kazimierza Wielkiego;34;Bochnia;bocheński;małopolskie
32-703;FUP Bochnia;Bochnia;Legionów Polskich;13/i;Bochnia;bocheński;małopolskie
32-701;FUP Bochnia;Bochnia;Proszowska;69;Bochnia;bocheński;małopolskie
32-709;FUP Bochnia;Drwinia;;57;Drwinia;bocheński;małopolskie
32-765;FUP Bochnia;Rzezawa;Kościelna;8;Rzezawa;bocheński;małopolskie
32-702;AP Bochnia;Bochnia;Floris;10;Bochnia;bocheński;małopolskie
32-705;AP Bochnia;Bochnia;św. Jana;14/4;Bochnia;bocheński;małopolskie
32-706;AP Bochnia;Bochnia;Księcia Józefa Poniatowskiego;22/a;Bochnia;bocheński;małopolskie
09-470;UP Bodzanów;Bodzanów;Elizy Orzeszkowej;25;Bodzanów;płocki;mazowieckie
09-454;FUP Bodzanów;Bulkowo;Szkolna;1;Bulkowo;płocki;mazowieckie
09-441;FUP Bodzanów;Staroźreby;Kościelna;39;Staroźreby;płocki;mazowieckie
26-010;UP Bodzentyn;Bodzentyn;Suchedniowska;1;Bodzentyn;kielecki;świętokrzyskie
26-006;FUP Bodzentyn;Nowa Słupia;Świętokrzyska;18;Nowa Słupia;kielecki;świętokrzyskie
26-005;FUP Bodzentyn;Rudki;Pocztowa;2;Nowa Słupia;kielecki;świętokrzyskie
26-010;AP Bodzentyn;Bodzentyn;Langiewicza;19;Bodzentyn;kielecki;świętokrzyskie
06-300;AP Bogate;Bogate;;66;Przasnysz;przasnyski;mazowieckie
59-920;AP Bogatynia;Bogatynia;Jana Matejki;11;Bogatynia;zgorzelecki;dolnośląskie
59-920;UP Bogatynia 1;Bogatynia;Pocztowa;1;Bogatynia;zgorzelecki;dolnośląskie
59-916;FUP Bogatynia 1;Bogatynia;Parkowa;2;Bogatynia;zgorzelecki;dolnośląskie
14-531;AP Bogdany;Bogdany;;1;Frombork;braniewski;warmińsko-mazurskie
58-375;AP Boguszów-Gorce;Boguszów-Gorce;pl. Pl. Odrodzenia;2;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-374;AP Boguszów-Gorce;Boguszów-Gorce;Romualda Traugutta;21;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-370;UP Boguszów-Gorce 1;Boguszów-Gorce;Adama Mickiewicza;9;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-371;FUP Boguszów-Gorce 1;Boguszów-Gorce;Grunwaldzka;5;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-379;FUP Boguszów-Gorce 1;Czarny Bór;Kamiennogórska;11a;Czarny Bór;wałbrzyski;dolnośląskie
21-550;AP Bohukały;Bohukały;;66;Terespol;bialski;lubelskie
84-207;AP Bojano;Bojano;Gryfa Pomorskiego;1/A;Szemud;wejherowski;pomorskie
59-700;AP Bolesławiec;Bolesławiec;Kaszubska;1/1;Bolesławiec;bolesławiecki;dolnośląskie
59-700;AP Bolesławiec;Bolesławiec;Masarska;1;Bolesławiec;bolesławiecki;dolnośląskie
59-700;UP Bolesławiec Śląski 1;Bolesławiec;Kaszubska;5;Bolesławiec;bolesławiecki;dolnośląskie
59-703;FUP Bolesławiec Śląski 1;Bolesławiec;Adama Asnyka;22;Bolesławiec;bolesławiecki;dolnośląskie
59-706;FUP Bolesławiec Śląski 1;Gromadka;11 Listopada;31;Gromadka;bolesławiecki;dolnośląskie
59-722;FUP Bolesławiec Śląski 1;Warta Bolesławiecka;;21;Warta Bolesławiecka;bolesławiecki;dolnośląskie
37-722;AP Bolestraszyce;Bolestraszyce;;182c;Żurawica;przemyski;podkarpackie
74-407;AP Boleszkowice;Boleszkowice;pl. Bolesława Chrobrego;4;Boleszkowice;myśliborski;zachodniopomorskie
13-325;AP Boleszyn;Boleszyn;;36;Grodziczno;nowomiejski;warmińsko-mazurskie
64-305;AP Bolewice;Bolewice;Nowa;1;Miedzichowo;nowotomyski;wielkopolskie
59-420;UP Bolków;Bolków;Kamiennogórska;17;Bolków;jaworski;dolnośląskie
84-239;AP Bolszewo;Bolszewo;Lipowa;2;Wejherowo;wejherowski;pomorskie
16-051;AP Bondary;Bondary;;1;Michałowo;białostocki;podlaskie
07-411;AP Borawe;Borawe;;107 A;Rzekuń;ostrołęcki;mazowieckie
27-440;AP Boria;Boria;;49B;Ćmielów;ostrowiecki;świętokrzyskie
39-307;AP Borki Nizińskie;Borki Nizińskie;;131;Tuszów Narodowy;mielecki;podkarpackie
46-300;AP Borki Wielkie;Borki Wielkie;Ojca Alarda;26 A;Olesno;oleski;opolskie
09-203;AP Borkowo Wielkie;Borkowo Wielkie;Długa;2;Sierpc;sierpecki;mazowieckie
42-283;AP Boronów;Boronów;3 Maja;82;Boronów;lubliniecki;śląskie
39-305;UP Borowa k. Mielca;Borowa;;266;Borowa;mielecki;podkarpackie
39-304;FUP Borowa k. Mielca;Czermin;;143;Czermin;mielecki;podkarpackie
39-307;FUP Borowa k. Mielca;Gawłuszowice;;5a;Gawłuszowice;mielecki;podkarpackie
55-093;AP Borowa Oleśnicka;Borowa;Lipowa;13;Długołęka;wrocławski;dolnośląskie
67-130;AP Borowina;Borowina;;36;Szprotawa;żagański;lubuskie
83-338;AP Borowo;Borowo;Gdańska;23;Kartuzy;kartuski;pomorskie
62-035;AP Borówiec;Borówiec;Polna;1;Kórnik;poznański;wielkopolskie
64-300;AP Boruja Kościelna;Boruja Kościelna;Wolsztyńska;2;Nowy Tomyśl;nowotomyski;wielkopolskie
83-210;AP Borzechowo;Borzechowo;Szkolna;5A;Zblewo;starogardzki;pomorskie
97-532;AP Borzykowa;Borzykowa;Cmentarna;3;Żytno;radomszczański;łódzkie
88-401;AP Bożejewiczki;Bożejewiczki;Rolna;28;Żnin;żniński;kujawsko-pomorskie
14-500;UP Braniewo 1;Braniewo;Hozjusza;1;Braniewo;braniewski;warmińsko-mazurskie
14-500;FUP Braniewo 1;Braniewo;Dembińskiego;1;Braniewo;braniewski;warmińsko-mazurskie
14-502;FUP Braniewo 1;Braniewo;Kościuszki;66;Braniewo;braniewski;warmińsko-mazurskie
14-530;FUP Braniewo 1;Frombork;Pocztowa;9;Frombork;braniewski;warmińsko-mazurskie
14-520;FUP Braniewo 1;Lelkowo;;23;Lelkowo;braniewski;warmińsko-mazurskie
14-520;FUP Braniewo 1;Pieniężno;1 Maja;13;Pieniężno;braniewski;warmińsko-mazurskie
14-526;FUP Braniewo 1;Płoskinia;;2/5;Płoskinia;braniewski;warmińsko-mazurskie
17-120;UP Brańsk;Brańsk;Rynek;6;Brańsk;bielski;podlaskie
62-620;AP Brdów;Brdów;Kościelna;3;Babiak;kolski;wielkopolskie
73-240;AP Breń;Breń;;34;Bierzwnik;choszczeński;zachodniopomorskie
87-306;AP Brodnica;Brodnica;Okrężna;22;Brodnica;brodnicki;kujawsko-pomorskie
87-300;UP Brodnica 1;Brodnica;Pocztowa;5;Brodnica;brodnicki;kujawsko-pomorskie
87-323;FUP Brodnica 1;Bartniczka;Pocztowa;7;Bartniczka;brodnicki;kujawsko-pomorskie
87-327;FUP Brodnica 1;Bobrowo;;27;Bobrowo;brodnicki;kujawsko-pomorskie
87-301;FUP Brodnica 1;Brodnica;Stanisława Wyspiańskiego;8;Brodnica;brodnicki;kujawsko-pomorskie
87-302;FUP Brodnica 1;Brodnica;Zawiszy Czarnego;9;Brodnica;brodnicki;kujawsko-pomorskie
87-315;FUP Brodnica 1;Brzozie;;35;Brzozie;brodnicki;kujawsko-pomorskie
87-320;FUP Brodnica 1;Górzno;Pocztowa;10;Górzno;brodnicki;kujawsko-pomorskie
87-340;FUP Brodnica 1;Osiek;;81;Osiek;brodnicki;kujawsko-pomorskie
87-336;FUP Brodnica 1;Świedziebnia;;19;Świedziebnia;brodnicki;kujawsko-pomorskie
87-305;FUP Brodnica 1;Zbiczno;Szosa Brodnicka;52;Zbiczno;brodnicki;kujawsko-pomorskie
64-031;AP Bronikowo;Bronikowo;Morownicka;16;Śmigiel;kościański;wielkopolskie
18-221;AP Brulino-Piwki;Brulino-Piwki;;2;Czyżew;wysokomazowiecki;podlaskie
89-632;UP Brusy;Brusy;Dworcowa;14;Brusy;chojnicki;pomorskie
33-192;AP Bruśnik;Bruśnik;;131 B;Ciężkowice;tarnowski;małopolskie
49-301;AP Brzeg;Brzeg;Partyzantów;3;Brzeg;brzeski;opolskie
49-300;UP Brzeg 1;Brzeg;Piastowska;7;Brzeg;brzeski;opolskie
49-305;FUP Brzeg 1;Brzeg;Jana Brzechwy;3;Brzeg;brzeski;opolskie
49-304;FUP Brzeg 1;Brzeg;Chocimska;7;Brzeg;brzeski;opolskie
49-306;FUP Brzeg 1;Brzeg;Plac Zamkowy;5;Brzeg;brzeski;opolskie
49-313;FUP Brzeg 1;Lubsza;Kamienna;1;Lubsza;brzeski;opolskie
49-300;FUP Brzeg 1;Skarbimierz-Osiedle;Parkowa;8A;Skarbimierz;brzeski;opolskie
49-302;UP Brzeg 2;Brzeg;Plac Dworcowy;4;Brzeg;brzeski;opolskie
32-800;UP Brzesko 1;Brzesko;Tadeusza Kościuszki;5;Brzesko;brzeski;małopolskie
32-825;FUP Brzesko 1;Borzęcin;;583G;Borzęcin;brzeski;małopolskie
32-810;FUP Brzesko 1;Brzesko;Dworcowa;1 A;Brzesko;brzeski;małopolskie
32-800;FUP Brzesko 1;Brzesko;Partyzantów;1a;Brzesko;brzeski;małopolskie
32-860;FUP Brzesko 1;Czchów;Armii Krajowej;8;Czchów;brzeski;małopolskie
32-864;FUP Brzesko 1;Gnojnik;;430;Gnojnik;brzeski;małopolskie
32-861;FUP Brzesko 1;Iwkowa;;509;Iwkowa;brzeski;małopolskie
32-820;FUP Brzesko 1;Szczurowa;Rynek;1;Szczurowa;brzeski;małopolskie
32-852;FUP Brzesko 1;Wola Dębińska;;240;Dębno;brzeski;małopolskie
32-821;FUP Brzesko 1;Zaborów;;62 A;Szczurowa;brzeski;małopolskie
95-065;AP Brzeziny;Brzeziny;Stanisława Moniuszki;10;Brzeziny;brzeziński;łódzkie
95-060;UP Brzeziny k. Łodzi;Brzeziny;Adama Mickiewicza;22;Brzeziny;brzeziński;łódzkie
95-061;FUP Brzeziny k. Łodzi;Dmosin;;9;Dmosin;brzeziński;łódzkie
95-047;FUP Brzeziny k. Łodzi;Jeżów;Brzezińska;13;Jeżów;brzeziński;łódzkie
95-063;FUP Brzeziny k. Łodzi;Rogów;Żeromskiego;11;Rogów;brzeziński;łódzkie
32-413;AP Brzezowa;Brzezowa;;1 A;Dobczyce;myślenicki;małopolskie
47-227;AP Brzeźce;Brzeźce;Gliwicka;41;Bierawa;kędzierzyńsko-kozielski;opolskie
39-207;AP Brzeźnica;Brzeźnica;Dębicka;6;Dębica;dębicki;podkarpackie
87-600;AP Brzeźno;Brzeźno;;32;Lipno;lipnowski;kujawsko-pomorskie
77-139;AP Brzeźno Szlacheckie;Brzeźno Szlacheckie;Szlachecka;48;Lipnica;bytowski;pomorskie
39-230;UP Brzostek;Brzostek;Szkolna;2;Brzostek;dębicki;podkarpackie
39-225;FUP Brzostek;Jodłowa;;25 B;Jodłowa;dębicki;podkarpackie
28-137;AP Brzostków;Brzostków;;134a;Nowy Korczyn;buski;świętokrzyskie
66-502;AP Brzoza;Brzoza;;63;Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie
36-200;UP Brzozów;Brzozów;Adama Mickiewicza;10;Brzozów;brzozowski;podkarpackie
36-200;FUP Brzozów;Brzozów;3-go Maja;55;Brzozów;brzozowski;podkarpackie
36-232;FUP Brzozów;Domaradz;;344;Domaradz;brzozowski;podkarpackie
36-204;FUP Brzozów;Dydnia;;222;Dydnia;brzozowski;podkarpackie
36-214;FUP Brzozów;Haczów;;573;Haczów;brzozowski;podkarpackie
36-222;FUP Brzozów;Jasienica Rosielna;;293;Jasienica Rosielna;brzozowski;podkarpackie
36-200;AP Brzozów;Brzozów;Tadeusza Kościuszki;71;Brzozów;brzozowski;podkarpackie
08-302;AP Brzozów;Brzozów;;36;Sokołów Podlaski;sokołowski;mazowieckie
97-215;AP Brzustów;Brzustów;;86;Inowłódz;tomaszowski;łódzkie
14-101;AP Brzydowo;Brzydowo;;19;Ostróda;ostródzki;warmińsko-mazurskie
64-236;AP Bucz;Bucz;Kasztanowa;26;Przemęt;wolsztyński;wielkopolskie
32-802;AP Bucze;Bucze;Okulicka;5;Brzesko;brzeski;małopolskie
62-541;AP Budzisław Kościelny;Budzisław Kościelny;Szkolna;15;Kleczew;koniński;wielkopolskie
64-320;UP Buk;Buk;Dworcowa;10;Buk;poznański;wielkopolskie
22-107;AP Bukowa Mała;Bukowa Mała;;76;Sawin;chełmski;lubelskie
84-311;AP Bukowina;Bukowina;;40B;Cewice;lęborski;pomorskie
34-530;UP Bukowina Tatrzańska;Bukowina Tatrzańska;Kościuszki;140;Bukowina Tatrzańska;tatrzański;małopolskie
32-332;AP Bukowno;Bukowno;1 Maja;74;Bukowno;olkuski;małopolskie
32-203;AP Bukowska Wola;Bukowska Wola;;9;Miechów;miechowski;małopolskie
48-340;AP Burgrabice;Burgrabice;;105;Głuchołazy;nyski;opolskie
28-100;AP Busko-Zdrój;Busko-Zdrój;Partyzantów;22/9;Busko-Zdrój;buski;świętokrzyskie
28-100;UP Busko-Zdrój 1;Busko-Zdrój;al. Adama Mickiewicza;11;Busko-Zdrój;buski;świętokrzyskie
28-101;FUP Busko-Zdrój 1;Busko-Zdrój;1 Maja;18;Busko-Zdrój;buski;świętokrzyskie
28-102;FUP Busko-Zdrój 1;Busko-Zdrój;os. generała Władysława Sikorskiego;10;Busko-Zdrój;buski;świętokrzyskie
28-142;FUP Busko-Zdrój 1;Tuczępy;;37;Tuczępy;buski;świętokrzyskie
28-160;FUP Busko-Zdrój 1;Wiślica;Rynek;25;Wiślica;buski;świętokrzyskie
23-100;UP Bychawa;Bychawa;Marszałka Józefa Piłsudskiego;7-15;Bychawa;lubelski;lubelskie
23-107;FUP Bychawa;Strzyżewice;;109;Strzyżewice;lubelski;lubelskie
23-146;FUP Bychawa;Wysokie;Rynek Jabłonowskich;3;Wysokie;lubelski;lubelskie
23-156;FUP Bychawa;Zakrzew;;26;Zakrzew;lubelski;lubelskie
85-713;AP Bydgoszcz;Bydgoszcz;Aleja Stefana Kardynała Wyszyńskiego;32;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-307;AP Bydgoszcz;Bydgoszcz;Juliusza Kossaka;48;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;AP Bydgoszcz;Bydgoszcz;Ogrody;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-451;AP Bydgoszcz;Bydgoszcz;ks. Piotra Skargi;12;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-737;AP Bydgoszcz;Bydgoszcz;Karola Szajnochy;11;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-455;AP Bydgoszcz;Bydgoszcz;Zygmunta Augusta;7/9;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;UP Bydgoszcz 1;Bydgoszcz;Jagiellońska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-025;FUP Bydgoszcz 1;Bydgoszcz;Bernardyńska;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-537;FUP Bydgoszcz 1;Bydgoszcz;Drzycimska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-002;FUP Bydgoszcz 1;Bydgoszcz;Dworcowa;100;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Fordońska;141;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-717;FUP Bydgoszcz 1;Bydgoszcz;Gajowa;99;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Grudziądzka;9/15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-020;FUP Bydgoszcz 1;Bydgoszcz;Ks. Stanisława Konarskiego;1/3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Kruszwicka;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-311;FUP Bydgoszcz 1;Bydgoszcz;Nakielska;81;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-169;FUP Bydgoszcz 1;Bydgoszcz;Przyrzecze;7-13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;FUP Bydgoszcz 1;Bydgoszcz;Mariana Rejewskiego;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-202;FUP Bydgoszcz 1;Bydgoszcz;św. Trójcy;33;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-817;FUP Bydgoszcz 1;Bydgoszcz;Toruńska;101;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-128;FUP Bydgoszcz 1;Bydgoszcz;Wały Jagiellońskie;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-017;FUP Bydgoszcz 1;Bydgoszcz;Warszawska;2;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-455;FUP Bydgoszcz 1;Bydgoszcz;Wielorybia;103;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-204;UP Bydgoszcz 4;Bydgoszcz;Grunwaldzka;30;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-508;FUP Bydgoszcz 4;Bydgoszcz;Żeglarska;131;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-406;UP Bydgoszcz 6;Bydgoszcz;Lubostrońska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-810;UP Bydgoszcz 10;Bydgoszcz;Wojska Polskiego;23;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-802;FUP Bydgoszcz 10;Bydgoszcz;Sandomierska;20;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-816;FUP Bydgoszcz 10;Bydgoszcz;Świetlicowa;9;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-825;FUP Bydgoszcz 10;Bydgoszcz;Wojska Polskiego;65A;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;UP Bydgoszcz 11;Bydgoszcz;Jerzego Rupniewskiego;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-797;FUP Bydgoszcz 11;Bydgoszcz;P.por. Emilii Gierczak;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-738;FUP Bydgoszcz 11;Bydgoszcz;Karola Szajnochy;2;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-613;UP Bydgoszcz 13;Bydgoszcz;Józefa Sułkowskiego;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-609;FUP Bydgoszcz 13;Bydgoszcz;Jana Karola Chodkiewicza;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-915;UP Bydgoszcz 15;Bydgoszcz;Gdańska;123;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-003;FUP Bydgoszcz 15;Bydgoszcz;Gdańska;58;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-198;FUP Bydgoszcz 15;Bydgoszcz;Świętojańska;18;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-799;UP Bydgoszcz 19;Bydgoszcz;aleja marsz. Józefa Piłsudskiego;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-321;UP Bydgoszcz 21;Bydgoszcz;Władysława Broniewskiego;8;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-242;FUP Bydgoszcz 21;Bydgoszcz;Kcyńska;44;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-323;FUP Bydgoszcz 21;Bydgoszcz;Wysoka;36;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-099;UP Bydgoszcz 23;Bydgoszcz;Gajowa;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-092;FUP Bydgoszcz 23;Bydgoszcz;Marii Curie Skłodowskiej;26;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-123;UP Bydgoszcz 24;Bydgoszcz;Brzozowa;37;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-700;UP Bydgoszcz 27;Bydgoszcz;Połczyńska;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-739;FUP Bydgoszcz 27;Bydgoszcz;Kijowska;39;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;UP Bydgoszcz 31;Bydgoszcz;Adama Grzymały Siedleckiego;28;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;FUP Bydgoszcz 31;Bydgoszcz;Białogardzka;27;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-114;FUP Bydgoszcz 31;Bydgoszcz;Karpacka;31;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-849;FUP Bydgoszcz 31;Bydgoszcz;Magnuszewska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-858;FUP Bydgoszcz 31;Bydgoszcz;Przyjazna;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-443;UP Bydgoszcz 33;Bydgoszcz;Ołowiana;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-124;UP Bydgoszcz 39;Bydgoszcz;Marii Konopnickiej;30;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-195;FUP Bydgoszcz 39;Bydgoszcz;Orla;28;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-792;UP Bydgoszcz 44;Bydgoszcz;Jana Marcina Szancera;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;FUP Bydgoszcz 44;Bydgoszcz;Bydgoska;40;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-788;FUP Bydgoszcz 44;Bydgoszcz;Wyzwolenia;93a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-395;UP Bydgoszcz 46;Bydgoszcz;Nakielska;158;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-300;FUP Bydgoszcz 46;Bydgoszcz;Jana Maciaszka;115;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-798;UP Bydgoszcz 48;Bydgoszcz;Stanisława Skarżyńskiego;7a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-900;PP Bydgoszcz C102;Lisi Ogon;Pocztowa;12;Białe Błota;bydgoski;kujawsko-pomorskie
43-360;UP Bystra;Bystra;Szczyrkowska;79;Wilkowice;bielski;śląskie
39-124;AP Bystrzyca k. Dębicy;Bystrzyca;;34A;Iwierzyce;ropczycko-sędziszowski;podkarpackie
57-501;AP Bystrzyca Kłodzka;Bystrzyca Kłodzka;os. Osiedle Szkolne;10B/15;Bystrzyca Kłodzka;kłodzki;dolnośląskie
57-500;UP Bystrzyca Kłodzka 1;Bystrzyca Kłodzka;Henryka Sienkiewicza;4;Bystrzyca Kłodzka;kłodzki;dolnośląskie
57-530;FUP Bystrzyca Kłodzka 1;Międzylesie;Powstańców Śląskich;7;Międzylesie;kłodzki;dolnośląskie
41-903;AP Bytom;Bytom;Reptowska;37;Bytom;Bytom;śląskie
41-902;UP Bytom 2;Bytom;Karola Miarki;2;Bytom;Bytom;śląskie
41-912;FUP Bytom 2;Bytom;Teodora Axentowicza;1;Bytom;Bytom;śląskie
41-902;FUP Bytom 2;Bytom;Chorzowska;59;Bytom;Bytom;śląskie
41-910;FUP Bytom 2;Bytom;Bartosza Głowackiego;4;Bytom;Bytom;śląskie
41-927;FUP Bytom 2;Bytom;Księdza Prymasa Augusta Hlonda;Pawilon B;Bytom;Bytom;śląskie
41-902;FUP Bytom 2;Bytom;Kolejowa;18;Bytom;Bytom;śląskie
41-900;FUP Bytom 2;Bytom;pl. Tadeusza Kościuszki;1;Bytom;Bytom;śląskie
41-902;FUP Bytom 2;Bytom;Józefa Ignacego Kraszewskiego;21;Bytom;Bytom;śląskie
41-909;FUP Bytom 2;Bytom;Ludowa;2;Bytom;Bytom;śląskie
41-925;FUP Bytom 2;Bytom;Łużycka;12;Bytom;Bytom;śląskie
41-904;FUP Bytom 2;Bytom;Karola Miarki;6;Bytom;Bytom;śląskie
41-908;FUP Bytom 2;Bytom;Karola Miarki;4;Bytom;Bytom;śląskie
41-907;FUP Bytom 2;Bytom;Maurycego Mochnackiego;65;Bytom;Bytom;śląskie
41-933;FUP Bytom 2;Bytom;Gabriela Narutowicza;16;Bytom;Bytom;śląskie
41-923;FUP Bytom 2;Bytom;Józefa Nickla;117;Bytom;Bytom;śląskie
41-902;FUP Bytom 2;Bytom;al. Jana Nowaka-Jeziorańskiego;25;Bytom;Bytom;śląskie
41-915;FUP Bytom 2;Bytom;Orzegowska;38;Bytom;Bytom;śląskie
41-926;FUP Bytom 2;Bytom;Parkowa;2;Bytom;Bytom;śląskie
