Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1452571|28-400|Skrzypiów||84b||||
1745881|28-400|Pińczów|Sikorskiego|7|4|||
1884755|28-400|Pińczów|Leśna|10||||
1883757|28-400|Pińczów|Grunwaldzka|2|18|||
1984096|28-400|Skrzypiów||91||||
1861140|28-400|Pińczów|Leśna|7||||
1624522|28-400|Pińczów|Leśna|10||||
1699206|28-400|Pińczów|W. Witosa|4|2|||
1983267|28-404|Hajdaszek||1A||||
1334196|29-120|Rączki||69||||
1868278|30-009|Kraków|Friedleina|28A|39|||
1622304|30-009|Kraków|Odrowąża|40|7|||
1861480|30-010|Kraków|Łokietka|8B|65|||
1828296|30-010|Kraków|Łokietka|21B|11|||
1873020|30-010|Kraków|Antoniego Augustynka-Wichury|4|6|||
1314127|30-011|Kraków|Oboźna|11|43|||
1628960|30-011|Kraków|Wrocławska|69|81|||
1827307|30-011|Kraków|Wocławska|33|34|||
1926903|30-011|Kraków|Wrocławska|52C|30|||
1350250|30-011|Kraków|Wrocławska|53M|79|||
1891163|30-012|Kraków|Poznańska|5|1|||
1827506|30-014|Kraków|Kmieca|20|7|||
1943006|30-017|Kraków|Wrocławska|66|78|||
1228|30-019|Kraków|Mazowiecka|44|17|||
1972182|30-019|Kraków|Mazowiecka|15|16|||
1371987|30-019|Kraków|Mazowiecka|49|6|||
1806654|30-020|Kraków|Wójtowska|4|21|||
1707146|30-023|Kraków|Mazowiecka|84|19|||
1732912|30-023|Kraków|Mazowiecka|104|8|||
1853799|30-036|Kraków|F.Chopina|3|7a|||
1875526|30-039|Kraków|Pomorska|6|4|||
1742|30-040|Kraków|Królewska|13|2|||
1732222|30-042|Kraków|Zbrojów|12|42|||
1644676|30-042|Kraków|Zbrojów|1|4|||
3768|30-043|Kraków|Al.Artura Grottgera|34|6|||
1796210|30-045|Kraków|Józefitów|21|7|||
1757216|30-046|Kraków|Juliusza Lea|7b|67|||
1894626|30-047|Kraków|Karłowicza|14|51|||
1913851|30-047|Kraków|Szymanowskiego|12|5|||
1852563|30-047|Kraków|Karłowicza|7|2|||
1779107|30-048|Kraków|J.Lea|16A|18|||
1227|30-049|Kraków|Chopina|22|7|||
1840708|30-051|Kraków|Ogrodniczek|7|1|||
1971753|30-052|Kraków|Juliusza Lea|53|78|||
1959738|30-052|Kraków|Lea|21B|6|||
1850721|30-052|Kraków|Nowowiejska|37|7|||
1979418|30-053|Kraków|Kronikarza Galla|4|9|||
1979962|30-057|Kraków|Chocimska|24|5|||
1804252|30-057|Kraków|Chocimska|30|1|||
1876192|30-058|Kraków|Lea|99|6|||
1906190|30-058|Kraków|Lea|94|7|||
1872710|30-059|Kraków|Reymonta|17||||
1966370|30-059|Kraków|Reymonta|17|112|||
1874547|30-062|Kraków|Aleja 3 Maja|51A||||
1854841|30-065|Kraków|Tokarskiego|2|320|||
1993912|30-065|Kraków|Turniejowa|47||||
1735475|30-065|Kraków|Tokarskiego|4||||
1936622|30-065|Kraków|Tokarskiego|2|219|||
1804739|30-065|Kraków|Tokarskiego|2|111|||
1830079|30-065|Kraków|Tokarskiego|2||||
1959553|30-065|Kraków|Juliana Tokarskiego|4/DS18|406A|||
1959557|30-065|Kraków|Tokarskiego|2||||
3982|30-065|Kraków|Chodowieckiego|7|37|||
1710805|30-065|Kraków|Tokarskiego|2||||
1913848|30-065|Kraków|Tokarskiego|2|DS19|||
1386373|30-067|Kraków|Gramatyka|7|6a|||
1968881|30-067|Kraków|Piastowska|11A|2|||
8454|30-069|Kraków|Warmijska|11|1|||
1873399|30-072|Kraków|Witolda Budryka|9||||
1960590|30-072|Kraków|Rostafińskiego|2|16|||
1941555|30-072|Kraków|Rostafińskiego|8|203a|||
1919247|30-072|Kraków|Witolda Budryka|2|p.400a|||
1918908|30-072|Kraków|Witolda Budryka|2||||
1918878|30-072|Kraków|Witolda Budryka|2|510A|||
1913698|30-072|Kraków|Nawojki|6|90|||
1896268|30-072|Kraków|Rostafińskiego|10|215|||
1852422|30-072|Kraków|Witolda Budryka|9|2|||
8334|30-073|Kraków|W.Goetla|39||||
1971934|30-075|Kraków|Racławicka|31|8|||
1852090|30-075|Kraków|Bytomska|4|11|||
1755|30-076|Kraków|Zakątek|5|18|||
1879585|30-076|Kraków|Zakątek|8|10|||
1941095|30-079|Kraków|Królewska|94|12B|||
9327|30-079|Kraków|Kijowska|48|17|||
1918983|30-079|Kraków|Kijowska|31|38|||
1630657|30-079|Kraków|Królewska|92|150|||
1782913|30-079|Kraków|Al. Kijowska|13|18|||
1904153|30-079|Kraków|Królewska|90|48|||
8845|30-079|Kraków|Al.Kijowska|5|157|||
1943189|30-082|Kraków|Kazimierza Wielkiego|68|32|||
1971604|30-084|Kraków|Bronowicka|9|13|||
1313687|30-085|Kraków|Głowackiego|10B|63|||
1828924|30-085|Kraków|Bartosza Głowackiego|28|34|||
1971222|30-087|Kraków|Zaczarowane Koło|5|25|||
1711025|30-087|Kraków|Zaczarowane Koło|3|10|||
553|30-087|Kraków|Zaczarowane Koło|5|18|||
